Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
Mauritius,59.5,26.7,43.6,52.8,58.0,69.4,2014
Hungary,59.3,10.7,35.7,48.1,43.6,44.9,2014
Bahrain,59.1,36.1,47.9,57.6,56.2,62.0,2014
Trinidad And Tobago,58.8,22.1,41.0,57.6,49.3,41.1,2014
Uganda,58.7,12.9,36.4,55.2,27.1,24.5,2014
Dominican Republic,58.0,12.6,35.9,59.0,40.9,33.7,2014
Montenegro,57.3,11.6,35.1,49.9,50.1,38.7,2014
Czech Republic,56.6,17.6,37.7,51.0,37.3,62.3,2014
Oman,56.0,30.4,43.6,53.5,40.7,112.3,2014
Ethiopia,55.5,21.8,39.1,55.4,28.2,11.9,2014
China,54.1,24.3,39.6,57.1,37.8,43.7,2014
Poland,53.7,18.9,36.8,45.2,44.2,57.6,2014
Cambodia,53.6,13.0,33.9,64.3,25.1,15.3,2014
Kenya,53.6,19.2,36.9,59.5,34.2,30.9,2014
El Salvador,53.1,10.3,32.3,50.6,35.9,24.1,2014
Libya,52.3,20.2,36.7,61.3,42.8,42.8,2014
Panama,52.2,31.4,42.1,59.8,40.4,44.6,2014
Guatemala,52.0,15.5,34.3,54.2,33.3,38.8,2014
Serbia,51.6,10.9,31.8,42.7,42.7,37.4,2014
Iraq,51.3,17.8,35.0,45.8,46.2,37.2,2014
Honduras,51.0,12.2,32.2,42.9,33.6,38.2,2014
Peru,50.9,15.4,33.7,47.5,36.1,35.5,2014
Colombia,50.4,14.7,33.0,47.7,34.8,33.4,2014
Belarus,50.3,15.9,33.6,46.2,55.8,33.9,2014
Tanzania,50.1,20.4,35.6,52.3,27.1,39.9,2014
Bulgaria,50.0,11.0,31.0,45.3,38.0,37.4,2014
Turkey,49.9,12.8,31.9,40.6,37.5,55.8,2014
Bosnia And Herzegovina,49.8,8.3,29.6,45.3,33.6,44.5,2014
Iran,49.5,20.5,35.4,52.6,41.5,30.3,2014
Albania,49.0,10.9,30.5,41.4,35.3,33.3,2014
Malaysia,48.7,15.2,32.4,47.6,26.6,70.5,2014
South Africa,48.6,17.7,33.6,42.3,43.7,96.0,2014
Romania,48.2,12.2,30.7,43.9,37.2,36.5,2014
Morocco,47.5,14.4,31.4,41.7,38.6,29.6,2014
Mexico,47.0,12.1,30.0,49.0,35.4,60.5,2014
Armenia,46.7,13.9,30.7,36.7,41.1,23.6,2014
Georgia,46.2,12.6,29.9,37.0,41.4,23.5,2014
Thailand,45.9,18.3,32.5,52.9,23.8,37.0,2014
Ukraine,45.6,15.1,30.8,40.8,40.2,31.0,2014
Ecuador,45.2,14.2,30.1,47.4,27.7,27.0,2014
Vietnam,44.9,15.2,30.4,41.1,23.3,26.3,2014
North Macedonia,44.2,9.1,27.2,37.7,32.4,33.3,2014
Sri Lanka,42.8,9.8,26.8,52.2,25.0,31.0,2014
Syria,42.7,12.2,27.9,38.6,35.5,21.5,2014
Moldova,41.6,10.0,26.2,35.9,31.1,22.9,2014
Tunisia,41.3,9.8,26.0,38.4,28.7,34.4,2014
Bolivia,41.0,13.6,27.7,36.9,24.6,45.7,2014
Bangladesh,40.4,6.6,24.0,41.3,26.0,33.6,2014
Philippines,40.3,8.3,24.8,42.4,23.2,30.0,2014
Algeria,39.1,8.9,24.5,40.1,27.5,32.1,2014
Indonesia,39.0,12.8,26.3,44.2,20.9,26.4,2014
Egypt,38.3,9.4,24.2,37.1,32.7,25.6,2014
Nepal,31.4,3.5,17.8,30.5,19.8,23.4,2014
Pakistan,29.7,4.7,17.5,29.2,22.3,31.5,2014
India,26.7,7.0,17.1,29.2,16.0,62.3,2014
Switzerland,126.0,57.6,92.6,128.4,127.6,146.5,2015
Norway,118.6,48.7,84.4,110.1,141.5,96.3,2015
Venezuela,111.0,34.1,73.4,128.4,91.1,11.9,2015
Iceland,102.1,35.9,69.8,103.8,105.2,70.8,2015
Denmark,100.6,34.7,68.4,88.6,117.5,105.7,2015
Australia,99.3,49.5,75.0,94.3,90.6,110.4,2015
New Zealand,93.7,35.8,65.4,92.5,86.3,91.0,2015
Singapore,93.6,84.6,89.2,81.5,59.5,75.4,2015
Kuwait,93.0,40.9,67.5,118.4,54.6,85.7,2015
United Kingdom,92.2,39.2,66.3,84.6,96.0,98.1,2015
Ireland,92.1,37.5,65.4,85.1,91.6,95.7,2015
Luxembourg,91.8,62.3,77.4,77.1,110.6,114.7,2015
Finland,89.7,29.9,60.5,84.3,92.4,101.2,2015
France,88.4,31.1,60.4,85.3,91.1,92.6,2015
Belgium,87.2,31.0,59.7,79.5,95.9,86.2,2015
Netherlands,86.0,35.5,61.3,66.8,102.1,102.0,2015
Sweden,82.9,27.5,55.8,78.7,90.0,110.9,2015
South Korea,82.9,35.6,59.8,98.1,52.5,85.8,2015
Italy,82.7,25.7,54.9,71.4,93.1,79.4,2015
Canada,81.8,33.1,58.0,87.4,74.1,105.1,2015
Japan,80.4,29.7,55.6,82.7,50.5,98.2,2015
Israel,79.3,30.3,55.3,69.2,85.3,88.2,2015
Austria,76.9,29.2,53.6,73.6,70.4,104.6,2015
United States,76.5,36.2,56.8,81.8,68.1,126.1,2015
Germany,76.3,27.2,52.3,64.9,72.5,111.8,2015
Hong Kong,75.2,81.1,78.1,79.5,53.8,74.9,2015
Qatar,74.0,76.3,75.1,65.4,78.1,113.0,2015
Puerto Rico,73.5,19.7,47.2,76.4,63.6,94.4,2015
Cyprus,72.5,16.2,45.0,66.1,75.2,71.0,2015
Ghana,71.8,54.2,63.2,73.4,59.1,14.2,2015
Greece,68.9,11.9,41.0,58.2,70.0,51.9,2015
Malta,68.8,18.3,44.1,58.1,75.9,72.5,2015
Belize,68.7,11.4,40.7,63.9,42.5,120.0,2015
Uruguay,68.6,21.8,45.7,60.6,64.6,44.9,2015
Lebanon,67.6,31.7,50.1,51.6,67.4,50.2,2015
United Arab Emirates,67.2,66.9,67.0,60.3,63.7,104.6,2015
Argentina,67.1,18.3,43.2,61.5,64.4,59.4,2015
Zimbabwe,65.9,19.8,43.4,59.4,54.3,33.4,2015
Spain,65.7,21.5,44.1,54.2,71.1,76.7,2015
Slovenia,65.1,17.3,41.8,55.6,54.0,64.2,2015
Jamaica,63.6,14.8,39.7,59.4,44.1,43.5,2015
Costa Rica,62.5,18.2,40.9,64.4,52.8,48.1,2015
Russia,61.9,28.7,45.7,49.9,71.8,38.9,2015
Jordan,61.4,15.3,38.8,50.9,58.6,38.7,2015
Estonia,61.2,16.2,39.2,49.0,51.5,51.4,2015
Mauritius,60.1,20.9,40.9,51.3,52.3,60.1,2015
Mozambique,59.9,34.2,47.3,52.7,71.2,41.2,2015
Nigeria,59.4,22.4,41.3,54.0,49.6,40.2,2015
Azerbaijan,59.1,30.5,45.1,50.2,64.7,29.2,2015
Trinidad And Tobago,59.1,22.2,41.0,60.1,51.0,47.0,2015
Croatia,58.9,11.8,35.9,52.3,46.4,50.5,2015
Portugal,58.2,18.3,38.7,47.4,51.1,58.2,2015
Tanzania,57.1,29.6,43.7,58.2,39.0,47.2,2015
Taiwan,57.1,17.2,37.6,66.7,27.9,69.9,2015
Cambodia,57.0,14.8,36.4,68.9,26.1,11.9,2015
Bahrain,56.2,37.4,47.0,55.3,54.2,59.7,2015
Dominican Republic,55.9,12.3,34.6,55.2,44.2,28.2,2015
Latvia,55.9,13.0,35.0,44.8,47.2,44.4,2015
Uzbekistan,55.9,13.7,35.3,49.9,43.1,23.2,2015
Brazil,55.3,18.5,37.3,44.3,45.4,41.2,2015
Panama,55.2,31.2,43.5,61.0,40.4,43.3,2015
Kazakhstan,54.3,19.4,37.2,44.4,59.0,43.5,2015
Oman,54.2,29.0,41.9,47.4,44.4,106.8,2015
Uganda,53.9,8.3,31.6,49.8,26.6,16.9,2015
Namibia,53.7,20.7,37.5,46.7,51.4,42.9,2015
Palestine,53.3,7.5,30.9,48.5,36.0,46.1,2015
Chile,53.2,17.1,35.6,47.8,44.6,55.1,2015
Honduras,53.1,10.1,32.1,49.7,33.9,62.6,2015
Myanmar,53.0,27.5,40.5,59.4,26.4,21.2,2015
Lithuania,52.8,13.6,33.6,44.6,37.5,46.9,2015
Libya,52.1,19.1,36.0,58.1,47.7,44.3,2015
Slovakia,51.6,17.4,34.9,46.9,38.1,56.0,2015
Ethiopia,51.5,16.9,34.6,50.3,24.8,15.9,2015
El Salvador,50.6,10.6,31.1,44.5,36.3,28.7,2015
Guatemala,50.4,14.0,32.6,51.5,35.8,38.0,2015
Saudi Arabia,50.4,15.2,33.2,46.9,34.8,126.2,2015
Belarus,50.2,17.6,34.3,45.4,57.9,35.8,2015
Kenya,50.0,17.1,33.9,50.6,34.8,28.7,2015
Turkey,49.6,11.5,31.0,39.9,38.7,53.6,2015
Peru,49.4,17.0,33.6,47.6,34.3,30.6,2015
Hungary,48.9,9.5,29.7,39.3,37.8,46.9,2015
China,48.9,22.4,36.0,50.2,36.5,48.6,2015
Czech Republic,48.5,16.6,32.9,43.8,33.0,68.1,2015
Iraq,48.2,18.0,33.4,41.9,43.3,41.2,2015
Montenegro,48.1,9.6,29.3,40.3,41.5,40.2,2015
Nicaragua,47.8,7.9,28.3,43.3,28.3,20.6,2015
Thailand,46.5,16.7,32.0,52.7,24.7,38.8,2015
Malaysia,46.0,13.4,30.1,45.9,25.4,73.5,2015
South Africa,45.6,17.0,31.6,40.4,41.5,101.8,2015
Ecuador,45.6,14.0,30.1,46.3,29.3,28.0,2015
Poland,45.1,15.1,30.5,36.5,38.8,63.5,2015
Iran,44.5,17.8,31.5,46.0,40.1,30.6,2015
Bulgaria,43.6,9.5,26.9,38.5,33.8,39.9,2015
Serbia,43.3,8.5,26.3,35.0,37.2,39.1,2015
Romania,42.4,10.0,26.6,37.4,35.1,40.6,2015
Bosnia And Herzegovina,42.3,7.3,25.2,37.5,29.1,44.7,2015
Albania,41.9,8.5,25.6,34.1,33.2,34.8,2015
Vietnam,41.9,14.9,28.7,39.4,22.7,21.3,2015
Sri Lanka,41.7,10.7,26.6,50.8,22.8,28.2,2015
Ukraine,41.3,12.7,27.3,35.5,38.2,27.9,2015
Mexico,41.3,11.7,26.8,42.4,33.3,59.5,2015
Armenia,40.7,9.6,25.5,33.2,32.7,27.7,2015
Kosovo (Disputed Territory),40.2,14.8,27.7,30.5,29.7,29.2,2015
Bolivia,40.0,10.8,25.8,33.9,26.0,41.1,2015
Philippines,40.0,7.5,24.1,41.1,23.1,35.4,2015
Morocco,39.8,10.3,25.4,34.8,32.3,35.5,2015
Georgia,39.6,11.9,26.1,31.8,37.9,26.2,2015
Indonesia,39.3,13.8,26.9,44.1,21.9,26.0,2015
Bangladesh,39.2,5.8,22.9,40.1,25.5,33.4,2015
Colombia,38.9,12.9,26.2,36.2,29.6,36.1,2015
Syria,38.2,10.3,24.6,35.4,31.3,23.1,2015
North Macedonia,37.4,7.0,22.6,32.0,28.5,35.5,2015
Egypt,37.2,9.0,23.4,35.1,32.0,25.8,2015
Moldova,34.7,7.7,21.5,29.7,28.4,23.7,2015
Algeria,34.1,7.8,21.3,34.0,27.0,36.9,2015
Tunisia,34.1,8.5,21.6,32.0,23.3,36.7,2015
Pakistan,30.7,4.8,18.1,30.4,23.5,33.2,2015
Nepal,28.9,3.2,16.3,27.8,18.7,21.3,2015
India,26.3,6.8,16.7,28.5,15.9,65.8,2015
Bermuda,133.7,120.1,127.2,131.9,121.3,118.5,2016
Switzerland,123.1,55.1,90.4,123.9,119.1,178.7,2016
Bahamas,107.5,38.2,74.2,107.1,88.4,59.0,2016
Norway,99.8,37.0,69.6,93.3,110.8,125.8,2016
Iceland,96.5,35.4,67.1,91.4,98.8,94.0,2016
Denmark,84.9,30.8,58.9,69.2,97.9,142.1,2016
Singapore,83.7,73.9,79.0,75.8,53.8,110.5,2016
Luxembourg,82.0,48.9,66.1,69.2,90.3,154.4,2016
Kuwait,81.6,38.3,60.8,96.1,46.0,113.6,2016
Hong Kong,81.5,82.6,82.0,88.8,50.7,102.3,2016
Japan,81.3,29.8,56.5,86.9,47.4,117.6,2016
United Kingdom,81.0,36.3,59.5,68.5,86.7,120.0,2016
Australia,78.5,41.0,60.4,74.7,74.8,147.3,2016
New Zealand,78.2,29.7,54.9,72.1,75.4,115.5,2016
Ireland,78.0,37.9,58.7,66.6,82.3,125.7,2016
Israel,75.7,26.8,52.2,65.7,77.3,115.5,2016
Sweden,75.7,25.2,51.4,67.9,79.2,128.2,2016
Belgium,75.4,31.4,54.3,67.2,82.9,106.7,2016
France,75.3,26.2,51.7,69.6,73.5,118.5,2016
Finland,75.2,27.0,52.1,66.6,76.8,132.9,2016
United States,74.1,38.4,56.9,75.7,69.1,139.2,2016
South Korea,73.2,34.4,54.5,86.2,41.2,120.6,2016
Netherlands,72.1,31.8,52.7,56.1,80.7,129.3,2016
Qatar,70.0,74.5,72.2,59.5,69.3,141.9,2016
Italy,68.8,21.5,46.0,58.6,75.3,105.7,2016
Puerto Rico,66.7,19.7,44.1,65.9,58.7,108.3,2016
Austria,66.6,26.2,47.2,61.7,62.6,120.5,2016
United Arab Emirates,66.1,68.3,67.1,57.2,59.8,136.4,2016
Germany,65.5,24.0,45.6,53.1,60.7,147.6,2016
Canada,64.8,26.8,46.6,65.0,60.0,134.8,2016
Argentina,64.1,18.1,42.0,52.5,64.2,74.9,2016
Macao,64.1,43.5,54.2,55.8,46.4,99.4,2016
Ghana,63.4,53.3,58.6,59.3,51.9,18.4,2016
Lebanon,63.1,35.1,49.6,48.8,59.7,66.6,2016
Malta,61.4,20.2,41.6,51.9,66.6,82.8,2016
Venezuela,60.0,11.5,36.7,73.7,47.1,14.3,2016
Belize,59.4,11.9,36.6,51.2,38.1,146.3,2016
Costa Rica,57.8,16.1,37.8,56.9,46.5,67.6,2016
Cyprus,57.0,13.1,35.9,48.0,59.7,93.8,2016
Spain,56.1,18.9,38.2,46.0,57.0,105.3,2016
Taiwan,55.8,14.7,36.1,64.6,25.1,106.4,2016
Jamaica,55.7,12.6,35.0,54.1,38.7,48.8,2016
Trinidad And Tobago,55.7,22.4,39.7,53.8,48.6,68.2,2016
Uruguay,55.6,15.8,36.5,48.1,52.8,50.6,2016
Zimbabwe,54.5,14.6,35.3,46.0,45.4,36.4,2016
Greece,54.4,9.5,32.8,44.7,55.1,79.3,2016
Oman,53.1,24.7,39.5,47.1,43.9,148.2,2016
Jordan,53.1,12.0,33.4,43.8,52.4,50.9,2016
Palestine,52.9,9.2,31.9,49.8,38.0,53.5,2016
Panama,52.6,30.5,42.0,55.3,40.4,48.1,2016
Slovenia,52.2,14.7,34.2,42.8,42.8,89.8,2016
Brunei,51.9,20.2,36.7,50.6,33.0,94.3,2016
Myanmar,51.6,20.2,36.5,49.6,28.4,33.3,2016
Dominican Republic,51.4,12.1,32.5,48.0,39.3,36.4,2016
Iraq,50.6,17.4,34.6,42.1,45.9,57.2,2016
Portugal,49.8,15.3,33.2,40.6,41.6,75.5,2016
Tanzania,49.5,25.7,38.1,42.8,35.7,53.9,2016
Estonia,48.9,13.5,31.9,38.5,44.1,77.4,2016
Croatia,48.2,9.7,29.7,40.7,37.6,67.9,2016
Bahrain,48.2,33.7,41.2,44.1,48.6,101.0,2016
China,48.1,23.2,36.1,53.3,29.3,77.4,2016
Mauritius,47.9,15.1,32.1,44.1,37.2,71.9,2016
Honduras,47.8,9.6,29.5,44.3,33.5,70.7,2016
Saudi Arabia,47.6,13.8,31.3,41.8,30.0,167.9,2016
Cambodia,47.3,12.4,30.5,52.2,22.6,16.4,2016
Nigeria,47.2,22.9,35.5,42.7,35.8,48.9,2016
Latvia,47.1,12.7,30.6,36.3,40.4,61.5,2016
Lithuania,45.6,12.4,29.6,37.3,35.4,61.3,2016
Zambia,45.5,21.3,33.9,34.0,31.6,142.2,2016
Turkey,45.1,10.5,28.4,39.9,31.9,64.1,2016
Slovakia,45.0,15.0,30.6,40.6,31.8,68.8,2016
Uzbekistan,44.7,12.6,29.2,40.8,29.4,31.1,2016
Ecuador,44.3,12.1,28.8,43.4,27.9,47.6,2016
Ethiopia,44.3,21.3,33.2,38.4,24.3,20.7,2016
Guatemala,44.1,11.4,28.4,41.8,33.0,51.6,2016
Chile,43.9,13.1,29.1,38.5,36.2,78.4,2016
Fiji,43.8,15.5,30.2,49.5,34.1,42.4,2016
El Salvador,42.6,9.8,26.8,38.4,28.8,43.2,2016
Czech Republic,41.8,14.4,28.7,36.5,28.3,89.9,2016
Hungary,41.3,10.5,26.5,33.2,30.8,56.3,2016
Iran,41.1,16.4,29.2,38.6,35.1,47.7,2016
Thailand,40.0,15.2,28.1,43.8,20.2,40.1,2016
Kenya,39.8,12.7,26.8,37.9,29.1,31.1,2016
Namibia,39.7,16.7,28.7,32.7,35.7,49.2,2016
Libya,39.7,14.1,27.4,39.7,32.2,62.5,2016
Vietnam,39.5,13.9,27.2,39.5,18.2,25.9,2016
Montenegro,39.5,9.2,24.9,31.8,35.8,52.5,2016
Belarus,39.4,13.2,26.9,32.4,49.3,39.2,2016
Brazil,38.9,12.3,26.1,29.9,31.5,48.7,2016
Poland,38.5,13.5,26.5,30.8,31.7,80.8,2016
Russia,38.5,17.1,28.2,32.2,42.1,57.4,2016
Peru,38.0,13.1,26.0,35.5,25.2,47.5,2016
Botswana,37.6,8.5,23.6,31.5,30.0,76.3,2016
Malaysia,37.5,11.1,24.8,37.5,19.8,96.3,2016
Bolivia,37.4,10.0,24.3,30.6,24.4,54.0,2016
Egypt,36.7,9.6,23.7,33.1,31.8,40.3,2016
Bulgaria,36.4,8.5,22.9,30.9,29.9,59.2,2016
Indonesia,36.3,9.9,23.6,40.9,18.4,35.5,2016
Morocco,35.6,9.7,23.1,31.7,24.0,48.7,2016
Bangladesh,35.5,5.3,21.0,32.6,21.3,44.5,2016
Armenia,35.5,9.8,23.1,28.3,31.0,33.1,2016
Mexico,35.0,9.9,22.9,33.7,28.2,76.5,2016
Romania,34.8,8.6,22.2,28.8,29.2,61.9,2016
South Africa,34.7,13.2,24.4,29.2,32.3,126.1,2016
Philippines,34.7,6.7,21.3,34.6,18.6,42.9,2016
Bosnia And Herzegovina,34.6,5.8,20.8,29.8,24.1,60.6,2016
Sri Lanka,34.1,8.6,21.9,38.5,21.2,33.0,2016
Albania,33.8,7.1,21.0,27.3,27.6,43.6,2016
Serbia,33.6,6.7,20.6,25.8,25.6,49.6,2016
Syria,31.7,8.0,20.3,29.8,23.7,25.8,2016
North Macedonia,31.0,5.9,19.0,26.1,21.2,46.7,2016
Tunisia,30.7,7.1,19.3,29.9,18.3,46.2,2016
Colombia,29.2,9.5,19.7,24.7,20.9,46.0,2016
Azerbaijan,28.9,11.1,20.4,24.2,28.4,41.1,2016
Algeria,28.9,7.1,18.4,30.5,18.8,49.5,2016
Georgia,28.7,10.6,20.0,24.6,26.9,30.9,2016
Ukraine,28.6,9.5,19.4,22.4,22.7,29.7,2016
Nepal,27.3,3.0,15.6,25.0,14.4,31.2,2016
Kazakhstan,26.8,9.5,18.5,21.5,27.6,59.3,2016
Pakistan,26.7,4.7,16.1,25.4,20.6,43.3,2016
Moldova,25.7,7.1,16.8,20.4,18.6,32.0,2016
India,24.1,6.4,15.6,24.9,15.3,89.6,2016
Bermuda,146.2,104.8,126.3,139.6,151.4,91.6,2017
Switzerland,122.1,56.6,90.7,122.7,119.8,95.3,2017
Iceland,111.7,46.5,80.5,103.9,119.7,77.6,2017
Norway,106.3,39.9,74.5,98.3,117.1,105.6,2017
Bahamas,104.0,40.6,73.6,103.5,90.0,34.8,2017
Us Virgin Islands,85.9,37.2,62.6,75.4,81.1,95.8,2017
Japan,85.3,27.6,57.6,89.9,47.8,102.5,2017
Italy,83.7,21.5,53.9,73.9,76.2,71.8,2017
Denmark,83.0,35.0,60.0,63.8,101.0,98.8,2017
Singapore,82.4,70.2,76.6,71.7,58.3,92.7,2017
New Zealand,80.8,33.8,58.3,73.1,77.5,89.9,2017
Australia,80.7,42.5,62.4,76.9,77.1,101.9,2017
Hong Kong,80.0,84.1,81.9,81.9,54.9,81.5,2017
Israel,77.7,28.4,54.1,65.4,81.4,94.5,2017
Luxembourg,77.3,49.9,64.2,65.9,87.3,97.4,2017
Ireland,77.0,40.6,59.6,62.2,81.4,103.5,2017
Sweden,75.9,26.9,52.4,67.9,78.3,107.2,2017
United States,75.4,40.3,58.6,75.6,70.0,123.2,2017
South Korea,75.4,22.0,49.8,88.5,44.6,102.4,2017
Belgium,75.4,29.6,53.4,65.8,82.3,91.0,2017
Kuwait,75.2,37.8,57.3,81.4,45.8,69.7,2017
France,74.9,24.8,50.9,69.5,72.9,87.3,2017
Finland,73.1,27.0,51.0,61.5,76.4,115.0,2017
Netherlands,72.5,32.4,53.3,55.9,82.3,86.5,2017
Austria,71.5,25.9,49.6,65.9,66.9,95.7,2017
Uruguay,70.3,18.6,45.5,56.8,67.6,32.9,2017
Canada,70.2,29.8,50.8,69.3,65.6,108.0,2017
Puerto Rico,69.6,19.5,45.6,66.8,63.3,83.0,2017
United Kingdom,69.5,31.0,51.0,55.8,76.8,96.9,2017
Qatar,69.2,66.8,68.1,56.1,72.7,111.3,2017
United Arab Emirates,68.0,68.8,68.4,55.4,63.9,116.8,2017
Germany,65.5,25.4,46.3,50.1,62.6,124.9,2017
Malta,62.8,23.2,43.8,52.8,66.9,68.1,2017
Macao,62.6,39.0,51.3,56.3,48.6,86.4,2017
Lebanon,61.7,30.9,46.9,46.9,60.2,53.6,2017
Taiwan,61.4,14.8,39.1,72.9,28.1,118.6,2017
Ghana,60.5,46.7,53.9,56.3,43.4,14.5,2017
Jordan,59.2,12.5,36.8,50.2,56.2,42.3,2017
Costa Rica,58.6,18.8,39.5,57.6,45.4,53.6,2017
Bahrain,57.8,31.6,45.3,55.5,49.2,94.8,2017
Jamaica,56.9,11.9,35.3,56.0,39.0,36.6,2017
Panama,56.9,31.9,44.9,57.4,47.4,38.5,2017
Trinidad And Tobago,56.2,21.1,39.4,53.5,51.9,57.1,2017
Greece,55.9,10.2,34.0,45.0,54.6,58.2,2017
Belize,55.8,11.3,34.5,49.3,33.4,134.3,2017
Mongolia,55.6,29.7,43.1,54.0,31.8,22.8,2017
Spain,55.0,18.8,37.7,44.7,53.7,87.9,2017
Cyprus,54.1,12.3,34.0,44.1,58.0,95.9,2017
Palestine,53.5,10.3,32.8,50.0,37.8,50.5,2017
Slovenia,53.2,14.1,34.5,43.5,43.1,78.2,2017
Fiji,53.1,27.4,40.8,57.1,36.8,33.7,2017
Brazil,53.1,15.5,35.1,41.6,42.3,42.4,2017
Oman,52.6,27.9,40.8,49.3,51.3,111.9,2017
Argentina,52.6,13.9,34.0,44.1,50.4,58.4,2017
Dominican Republic,52.1,12.5,33.1,46.9,42.3,29.1,2017
Zimbabwe,51.6,13.6,33.4,44.7,40.0,27.2,2017
Mauritius,50.4,12.6,32.3,43.3,35.8,50.8,2017
Chile,50.1,15.4,33.5,43.2,44.4,61.3,2017
Estonia,49.5,14.0,32.5,36.7,46.8,68.5,2017
Portugal,49.2,16.8,33.7,39.1,41.2,62.7,2017
Tanzania,48.5,22.8,36.2,37.6,33.5,41.9,2017
Saudi Arabia,48.4,14.4,32.1,40.5,30.2,138.1,2017
Croatia,48.0,10.1,29.8,39.9,37.5,60.7,2017
Latvia,47.8,12.1,30.7,36.7,41.2,52.5,2017
Honduras,47.4,11.6,30.2,39.4,36.3,37.5,2017
Iraq,47.0,15.2,31.8,39.2,44.4,55.1,2017
Cambodia,46.8,14.5,31.3,50.6,22.1,16.6,2017
Lithuania,46.7,13.3,30.7,36.2,40.1,51.7,2017
Namibia,46.5,21.0,34.3,40.9,43.2,50.5,2017
Ecuador,46.1,12.4,30.0,44.9,30.4,37.8,2017
Guatemala,46.0,14.3,30.8,43.9,32.6,48.2,2017
El Salvador,45.9,9.4,28.4,41.2,35.2,29.7,2017
Libya,45.8,18.8,32.9,47.0,35.7,132.7,2017
Ethiopia,45.7,20.8,33.8,36.9,23.9,16.7,2017
Slovakia,44.9,16.5,31.3,38.8,33.2,64.7,2017
China,44.8,18.7,32.3,47.7,29.7,67.8,2017
Zambia,44.7,21.9,33.8,33.8,32.3,89.9,2017
Thailand,43.7,14.9,29.9,48.3,21.4,34.3,2017
South Africa,43.1,16.3,30.3,36.3,40.2,99.0,2017
Hungary,42.8,12.7,28.3,33.6,32.7,47.5,2017
Russia,42.0,17.6,30.3,33.6,43.8,48.3,2017
Czech Republic,41.2,14.8,28.6,35.8,28.0,76.2,2017
Indonesia,41.1,11.7,27.0,45.8,20.3,27.6,2017
Malaysia,40.2,11.2,26.3,42.4,20.9,73.3,2017
Vietnam,40.1,15.5,28.3,39.6,20.5,24.8,2017
Peru,39.5,17.2,28.8,36.2,25.5,41.2,2017
Montenegro,39.3,9.5,25.1,31.1,35.0,46.6,2017
Kenya,39.0,9.7,25.0,37.6,30.0,31.0,2017
Bolivia,38.7,11.1,25.4,32.1,28.0,46.7,2017
Turkey,38.6,10.6,25.2,33.5,26.4,55.6,2017
Venezuela,38.3,7.5,23.5,39.4,37.3,3.3,2017
Iran,38.3,17.0,28.1,33.5,33.2,43.2,2017
Poland,38.1,13.9,26.5,29.7,31.5,71.8,2017
Nigeria,36.8,17.6,27.6,37.0,22.4,25.2,2017
Bulgaria,36.5,8.9,23.3,30.5,29.6,51.4,2017
Bangladesh,36.1,5.6,21.5,32.7,24.9,37.0,2017
Romania,35.6,9.6,23.2,29.0,30.2,53.4,2017
Morocco,35.5,10.4,23.5,31.5,23.9,41.2,2017
Bosnia And Herzegovina,35.0,6.2,21.2,29.8,24.2,51.3,2017
Philippines,34.7,7.3,21.6,33.9,19.9,36.0,2017
Colombia,34.4,10.7,23.1,28.8,25.0,37.6,2017
Uganda,34.1,6.8,21.1,29.4,20.8,19.4,2017
Armenia,33.9,9.9,22.4,26.8,31.0,32.9,2017
Belarus,33.8,12.2,23.5,27.2,37.6,36.4,2017
Serbia,33.8,7.2,21.1,25.0,27.2,40.8,2017
Sri Lanka,33.5,8.7,21.6,36.8,19.5,30.3,2017
Albania,32.4,6.3,19.9,26.1,25.1,34.5,2017
Algeria,32.4,6.8,20.1,32.5,20.1,36.7,2017
North Macedonia,30.9,6.0,19.0,25.4,20.7,39.8,2017
Kazakhstan,30.7,11.3,21.4,24.8,32.0,44.8,2017
Nepal,30.0,3.4,17.2,26.4,16.3,25.1,2017
Mexico,29.8,8.4,19.5,28.1,25.8,60.1,2017
Tunisia,28.7,6.1,17.9,27.6,16.9,40.2,2017
Moldova,28.4,7.9,18.5,22.0,20.3,29.4,2017
Syria,28.3,6.0,17.6,26.7,22.2,14.1,2017
Azerbaijan,27.8,10.7,19.6,22.9,29.2,30.8,2017
Georgia,27.4,8.6,18.4,22.3,26.7,33.0,2017
Pakistan,27.2,5.0,16.6,24.8,21.0,39.9,2017
Ukraine,26.2,9.4,18.1,19.9,19.7,26.9,2017
India,25.1,6.8,16.3,25.2,16.4,76.7,2017
Egypt,22.4,5.0,14.1,19.0,18.6,29.4,2017
Bermuda,144.9,100.7,123.6,143.4,151.6,104.2,2018
Switzerland,131.4,53.8,94.0,133.3,131.9,126.1,2018
Iceland,124.0,54.6,90.5,119.0,132.6,87.8,2018
Norway,113.7,40.9,78.6,106.5,125.0,108.0,2018
Bahamas,100.7,35.3,69.2,88.4,102.1,71.4,2018
Luxembourg,96.6,59.9,78.9,85.0,107.9,116.7,2018
Denmark,93.3,36.6,66.0,72.5,113.4,117.5,2018
Singapore,91.4,71.9,82.0,83.6,64.4,95.9,2018
Japan,86.6,25.6,57.2,91.6,49.2,107.4,2018
Israel,86.5,35.6,62.0,72.4,94.9,102.3,2018
Ireland,85.4,47.2,67.0,69.5,93.2,96.1,2018
